epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1530.99,1.29779,0.71288,1.20561,0.93242,0.94739,0.95268,0.58923,1.38762,0.635,1.28158,0.000203,0.000203,0.000203
62,1555.75,1.28347,0.72314,1.20199,0.92717,0.94065,0.95325,0.58937,1.38989,0.63206,1.28626,0.00019805,0.00019805,0.00019805
63,1581.02,1.28393,0.70249,1.19505,0.93491,0.94183,0.95342,0.59271,1.39248,0.6259,1.29108,0.0001931,0.0001931,0.0001931
64,1607.11,1.27415,0.69361,1.19928,0.93763,0.9469,0.95674,0.58764,1.3965,0.62949,1.2975,0.00018815,0.00018815,0.00018815
65,1632.39,1.27645,0.7076,1.19558,0.93565,0.944,0.95507,0.59736,1.37462,0.62354,1.27943,0.0001832,0.0001832,0.0001832
66,1657.46,1.27267,0.69516,1.19873,0.93969,0.94178,0.9558,0.60107,1.3683,0.61157,1.27343,0.00017825,0.00017825,0.00017825
67,1682.1,1.26711,0.6831,1.18518,0.93438,0.94466,0.95465,0.59471,1.37519,0.61424,1.27717,0.0001733,0.0001733,0.0001733
68,1707.29,1.24679,0.68108,1.17587,0.94557,0.93859,0.95745,0.5977,1.3845,0.61063,1.28172,0.00016835,0.00016835,0.00016835
69,1731.79,1.25424,0.68458,1.17655,0.94112,0.95449,0.95997,0.60482,1.35739,0.60339,1.26543,0.0001634,0.0001634,0.0001634
70,1758.68,1.24458,0.67427,1.17968,0.93996,0.94367,0.95588,0.59584,1.37981,0.61136,1.27977,0.00015845,0.00015845,0.00015845
71,1783.7,1.25479,0.67871,1.17948,0.93921,0.94606,0.95723,0.60152,1.35949,0.60344,1.26026,0.0001535,0.0001535,0.0001535
72,1808.38,1.24261,0.66913,1.16838,0.93827,0.94682,0.95634,0.60146,1.36676,0.6034,1.27174,0.00014855,0.00014855,0.00014855
73,1833.86,1.23767,0.67702,1.18169,0.94146,0.94749,0.95837,0.60296,1.3702,0.60092,1.27763,0.0001436,0.0001436,0.0001436
74,1858.11,1.24113,0.6599,1.17684,0.9393,0.94342,0.95656,0.59676,1.3666,0.60476,1.27544,0.00013865,0.00013865,0.00013865
75,1883.86,1.22853,0.65738,1.16605,0.9469,0.94765,0.96227,0.60472,1.36295,0.60033,1.2685,0.0001337,0.0001337,0.0001337
76,1910.24,1.22535,0.65942,1.16878,0.94079,0.94851,0.95823,0.60352,1.36651,0.59622,1.26395,0.00012875,0.00012875,0.00012875
77,1937.8,1.22133,0.65966,1.1657,0.94584,0.94528,0.95641,0.59055,1.40032,0.60239,1.29017,0.0001238,0.0001238,0.0001238
78,1964.15,1.21963,0.65278,1.16627,0.94971,0.94958,0.95997,0.60201,1.37925,0.60079,1.27357,0.00011885,0.00011885,0.00011885
79,1990.4,1.22329,0.65266,1.17059,0.9446,0.95302,0.95905,0.60245,1.37745,0.59319,1.27943,0.0001139,0.0001139,0.0001139
80,2022.25,1.21677,0.64914,1.1618,0.9445,0.95132,0.9596,0.60364,1.36197,0.58811,1.26395,0.00010895,0.00010895,0.00010895
81,2053.26,1.22325,0.65155,1.16397,0.94191,0.95199,0.96083,0.60817,1.35984,0.58742,1.25823,0.000104,0.000104,0.000104
82,2084.31,1.20161,0.63902,1.15076,0.94031,0.95363,0.96137,0.60746,1.35749,0.58275,1.25976,9.905e-05,9.905e-05,9.905e-05
83,2116.11,1.21729,0.64043,1.16675,0.94853,0.95195,0.96144,0.60995,1.36081,0.58314,1.25741,9.41e-05,9.41e-05,9.41e-05
84,2142.92,1.21276,0.64314,1.15757,0.94289,0.95592,0.95839,0.60947,1.35106,0.58046,1.25439,8.915e-05,8.915e-05,8.915e-05
85,2169.39,1.20516,0.64218,1.16208,0.9474,0.94952,0.96093,0.6108,1.33317,0.57477,1.24989,8.42e-05,8.42e-05,8.42e-05
86,2196.31,1.19021,0.63578,1.16408,0.94249,0.95553,0.96442,0.60846,1.35666,0.57918,1.26413,7.925e-05,7.925e-05,7.925e-05
87,2222.83,1.19594,0.63806,1.16079,0.94878,0.95079,0.9623,0.61259,1.3582,0.57991,1.26464,7.43e-05,7.43e-05,7.43e-05
88,2249.74,1.18519,0.63457,1.15523,0.94475,0.94996,0.95987,0.61429,1.3419,0.57526,1.25719,6.935e-05,6.935e-05,6.935e-05
89,2276.95,1.17333,0.62301,1.14144,0.94533,0.95549,0.95989,0.60972,1.34924,0.57566,1.26097,6.44e-05,6.44e-05,6.44e-05
90,2303.53,1.17917,0.62261,1.14974,0.94784,0.95532,0.96258,0.61791,1.33966,0.56855,1.255,5.945e-05,5.945e-05,5.945e-05
91,2365.05,1.18408,0.56933,1.19199,0.95043,0.95345,0.9642,0.60403,1.35908,0.58453,1.27181,5.45e-05,5.45e-05,5.45e-05
92,2393.71,1.1579,0.55159,1.17641,0.95138,0.94962,0.96096,0.60202,1.3572,0.5804,1.26167,4.955e-05,4.955e-05,4.955e-05
93,2419.68,1.15355,0.55267,1.16974,0.94646,0.9518,0.96102,0.6073,1.35004,0.57877,1.25764,4.46e-05,4.46e-05,4.46e-05
94,2445.55,1.14712,0.54541,1.16134,0.94755,0.9517,0.96192,0.60904,1.34261,0.57247,1.25284,3.965e-05,3.965e-05,3.965e-05
95,2471.65,1.1405,0.5375,1.15742,0.95024,0.95418,0.96298,0.61027,1.3393,0.56947,1.24977,3.47e-05,3.47e-05,3.47e-05
96,2497.99,1.14003,0.54047,1.15793,0.95019,0.95148,0.96334,0.61393,1.33551,0.57025,1.24726,2.975e-05,2.975e-05,2.975e-05
97,2523.82,1.13503,0.5418,1.15987,0.95201,0.95529,0.96319,0.6139,1.33464,0.56822,1.24648,2.48e-05,2.48e-05,2.48e-05
98,2549.97,1.12952,0.53515,1.14697,0.94998,0.95316,0.96281,0.61466,1.33373,0.567,1.24336,1.985e-05,1.985e-05,1.985e-05
99,2575.57,1.12686,0.53771,1.15516,0.95139,0.95262,0.96308,0.61129,1.33965,0.56765,1.2453,1.49e-05,1.49e-05,1.49e-05
100,2601.41,1.12358,0.53372,1.14834,0.95199,0.9532,0.96309,0.61231,1.34016,0.5658,1.24608,9.95e-06,9.95e-06,9.95e-06
